channel_name,video_id,title,duration_seconds,format_type,view_count,like_count,comment_count,like_rate,comment_rate
핫이슈지,8xxKIBOdqPg,쿨한 시어머니 #핫이슈지 #이수지,33,shortform,1435942,16580,490,1.1546,0.0341
핫이슈지,G-5iFD7QCbU,우리 아들은 계획이 다 있었구나? #핫이슈지 #이수지,22,shortform,483746,4044,131,0.836,0.0271
핫이슈지,R4Jor9oFVNY,황정자의 슬기로운 병원생활 [실버전성시대],878,longform,1222138,17613,2315,1.4412,0.1894
핫이슈지,1b5Q8RQQiDQ,아이들 인생샷에 이런 고충이? #핫이슈지 #이수지,53,shortform,1105259,15963,1350,1.4443,0.1221
핫이슈지,U6CnR287tvU,유치원 교사 이민지 씨의 봄 (feat.모기) [휴먼다큐 진짜 극한직업](20260428 방송),872,longform,3925066,70310,16627,1.7913,0.4236
핫이슈지,dP1-F2Mkqsc,우리 아이 필수 선행 학습! #핫이슈지 #이수지,30,shortform,1457231,13077,481,0.8974,0.033
핫이슈지,gQP5gFgCqUc,코로나 걸린 아이가 갑분등! #핫이슈지 #이수지,41,shortform,2562186,24527,2339,0.9573,0.0913
핫이슈지,gSsjIae0fVg,모기지옥 #핫이슈지 #이수지,18,shortform,599802,6568,667,1.095,0.1112
핫이슈지,QyzsS9CId88,서로 자기 할 말만 하는 모녀 대화 특징,24,shortform,532458,4145,96,0.7785,0.018
핫이슈지,xmGmeHUn1RA,얘가 돈 귀한 줄 모르고 이런 걸 사 먹어,21,shortform,3240007,24395,1275,0.7529,0.0394
핫이슈지,AtblpYFF38g,내가65세이상인데이게가능한거야?,34,shortform,975413,6929,142,0.7104,0.0146
핫이슈지,wLIRb_itiNE,딸과 함께 봄을 걷다! 황정자 씨의 따뜻한 외출 [실버전성시대],838,longform,839410,14753,1638,1.7575,0.1951
핫이슈지,wvxlEOIamMU,???: 아니 얘가 죽었다잖아. 이게 가짜라고?,27,shortform,1841969,15865,577,0.8613,0.0313
핫이슈지,Vspe4fZd5pI,내 딸이지만 참 극성이야 걔도,34,shortform,1061751,10536,419,0.9923,0.0395
핫이슈지,gi7hqddBGs0,시인 황정자 씨의 살맛나는 하루! [실버전성시대],808,longform,848434,12710,1264,1.4981,0.149
핫이슈지,D-qIuHXfKkQ,선생님은 퇴근 언제 해요...? #핫이슈지 #이수지,61,longform,7278342,136887,9039,1.8807,0.1242
핫이슈지,PDj3ukCKPf8,우리 아이 30년 뒤 억대 자산가 만드는 법💰 #핫이슈지 #이수지,53,shortform,1214574,19766,499,1.6274,0.0411
핫이슈지,oA9yHCetjUw,유치원 교사 이민지 씨의 끝나지 않는 24시간 [휴먼다큐 진짜 극한직업] (20260407방송),985,longform,6439898,127001,26364,1.9721,0.4094
핫이슈지,GXuF_6wXlcU,무조건 살 빠지는 다이어트 줌바 (회사편) | 스트레스 타파 | 다이어트 댄스 | 신나게 살빼자🔥,483,longform,473226,10463,1328,2.211,0.2806
핫이슈지,8OYCpZb5U4c,지민이 아줌마들 앞에서 울지도 않고 참 잘하네요,45,shortform,542801,13978,675,2.5752,0.1244
핫이슈지,03jLz33rTtU,“Golden Maknae” shows upto support Jimin,43,shortform,455317,10224,462,2.2455,0.1015
핫이슈지,MRB_B6EOulc,Your *** falls off while dancing with Jimin,28,shortform,777593,12082,439,1.5538,0.0565
핫이슈지,3FrmxC7-Yog,Jimin working this hardand here I am… 😭,50,shortform,410029,11279,517,2.7508,0.1261
핫이슈지,00wyTQJkEgw,(CC) 어쭈구리~ㅋ 이쁘장한총각이.아주.기냥.땐스도.기가맥히네~~돌리고 돌리고~~^^@ #jimin,943,longform,3035584,223983,19181,7.3786,0.6319
핫이슈지,UK_yZwVVSEE,※고학력자 시청주의※ | 수지와 친구들 EP.3,1223,longform,345025,4375,259,1.268,0.0751
핫이슈지,-gkh0suGoSI,상위 1% 고수들만 몰래 담는 종목 공개,56,shortform,310810,3509,108,1.129,0.0347
핫이슈지,JGdLicplNaI,아줌마 아들은 아줌마 눈에만 이쁘다고요ㅜㅜ,50,shortform,1362700,14204,535,1.0423,0.0393
핫이슈지,i8UEMX3OBZs,부자 사모님의 고급진 애티튜드,53,shortform,824843,12251,422,1.4853,0.0512
핫이슈지,ynqkYVAnbvM,천만실버세대! 그들은 어떻게 살고 있는가 | 시인 황정자 편 [실버전성시대],1024,longform,1807697,26753,3602,1.4799,0.1993
핫이슈지,7NL3Lfl7yBA,꺼지라고 땀냄새 쥰나 나니까,14,shortform,487877,4189,153,0.8586,0.0314
핫이슈지,S8w9I7UCqZA,도둑말고 여자만 잡는 여미새 경도 ㅋㅋ,41,shortform,216259,2089,72,0.966,0.0333
핫이슈지,3-8_v0KBqv8,185/75 느좋남이 경도하다 X될 뻔했습니다... | 리뷰OPPA,509,longform,535194,9802,1446,1.8315,0.2702
핫이슈지,08JIC5O2qLU,북조선 비줴이 김부애 당차게 인사올립네다.,404,longform,1298282,34093,3204,2.626,0.2468
핫이슈지,CUpPC9Y2Ejw,남조선 에미나이들이 두쫀쿠에 미쳐있다지?,31,shortform,457110,5265,138,1.1518,0.0302
핫이슈지,cfiPoNKiMW0,하다하다 북한까지 가버린 이수지 new 부캐 ㅋㅋ,25,shortform,1347984,18422,652,1.3666,0.0484
핫이슈지,UzuVh1_IB_I,잃을 것 없는 친구들의 내일 없는 토크 | 아픈 손가락 특집 | 수지와 친구들 EP.2,1675,longform,269260,4962,513,1.8428,0.1905
핫이슈지,a5RTljiPuU0,현실적으로 생각해봐,30,shortform,275827,1797,59,0.6515,0.0214
핫이슈지,CivrH-uI1AE,185/75 느좋남이 솔로파티에 가면 생기는 일  | 리뷰OPPA,702,longform,854609,14771,2341,1.7284,0.2739
핫이슈지,EbXwJklQGSk,이수지 nn번째 부캐ㅋㅋ 이건 또 뭐야,39,shortform,1436262,19323,777,1.3454,0.0541
핫이슈지,9Nb4KiTR_u4,두쫀쿠 ASMR~,14,shortform,159960,898,11,0.5614,0.0069
핫이슈지,-nV6Oct8haU,상처뿐인 씨부림,57,shortform,116688,915,15,0.7841,0.0129
핫이슈지,_IMY7rbOesM,뭘 해도 하드라,25,shortform,122708,616,5,0.502,0.0041
핫이슈지,tUcnLc7kwcI,맛있는 녀석들 아닙니다 | 무거운 녀석들의 헤비급 미러전 | 수지와 친구들 EP.1,1118,longform,817087,10273,659,1.2573,0.0807
핫이슈지,Ihl0qwmAImo,육퇴하고 치맥대신 이거지,48,shortform,100202,901,17,0.8992,0.017
핫이슈지,HX3R_9uVqbg,벌크업된 출연자들,24,shortform,146078,1252,41,0.8571,0.0281
핫이슈지,Eg0VOSGz85c,뭐 잘못됐다는 이선민,28,shortform,365951,4146,164,1.1329,0.0448
