keyword,genre,video_id,title,channel,published_at,view_count,like_count,comment_count,url,like_rate,comment_rate
부부의 세계,불륜복수,fHNzEPA6P9s,관식아 왜 그랬어💦 바람피우다 딱 걸린 박해준 재산 몰수하고 참교육 퍼붓는 아내 한소희ㅋ | 부부의 세계 | JTBC 200515 방송 외,DRAMA Voyage,2025-04-16T09:48:26Z,350621,1462,96,https://www.youtube.com/watch?v=fHNzEPA6P9s,0.41697445389751325,0.0273799915007943
부부의 세계,불륜복수,1qKUA7eDmV0,[#부부의세계] 4~6화 몰아보기,또 Voyage,2025-04-01T11:01:20Z,30889,137,6,https://www.youtube.com/watch?v=1qKUA7eDmV0,0.4435235844475379,0.019424390559746187
부부의 세계,불륜복수,wD78xyioye4,[드라마픽][EP.4]김희애VS한소희 전 와이프의 경고를 무시한 현 와이프의 최후💔｜부부의 세계｜JTBC 200515 방송 외,DRAMA Voyage,2021-03-13T10:22:18Z,3869081,16699,964,https://www.youtube.com/watch?v=wD78xyioye4,0.4316011993545754,0.024915477344620077
부부의 세계,불륜복수,mL6x1oXV7Lc,[#부부의세계] 10~12화 몰아보기,또 Voyage,2025-04-01T11:03:00Z,34817,163,11,https://www.youtube.com/watch?v=mL6x1oXV7Lc,0.46816210471895914,0.031593761668150616
펜트하우스,불륜복수,g8MEXGY_zsQ,"시즌3까지 만든 '시청률 30%'  주단태, 천서진 역대급 빌런 드라마 ㄷㄷㄷ🔥 #펜트하우스 전시즌 몰아보기 #출근후리뷰",SBS 옛날 드라마 - 빽드,2023-10-26T08:00:29Z,5219085,25381,1439,https://www.youtube.com/watch?v=g8MEXGY_zsQ,0.4863112978615984,0.02757188281087585
펜트하우스,불륜복수,TycIYgaDdC4,[#펜트하우스] 시즌1 복습 1~10화 핵심만 요약! 정주행 생각에 벌써 떨리는군...^^ #ThePenthouse #SBScatch  - 간접광고 포함 -,SBS Catch,2021-01-07T12:00:10Z,7804084,67646,3338,https://www.youtube.com/watch?v=TycIYgaDdC4,0.8668025613255829,0.042772476564834516
펜트하우스,불륜복수,KriepJ1P3j8,펜트하우스3 6회 요약 | 얽힌 실타래를 풀어야 해🧐 공공의 적을 두고 힘을 합친 그들🤝 #펜트하우스3 #ThePenthouse3 #SBSdrama,SBS 스브스 Drama,2024-05-03T08:00:20Z,370139,2226,80,https://www.youtube.com/watch?v=KriepJ1P3j8,0.6013956918887229,0.021613501954671082
펜트하우스,불륜복수,kRowiBfGBHM,펜트하우스2 3회 요약 | 거긴 네 자리가 아냐😏 은퇴해 가짜 소프라노 천서진👄 #펜트하우스2 #ThePenthouse2 #SBSdrama,SBS 스브스 Drama,2024-03-14T08:00:31Z,387463,2068,72,https://www.youtube.com/watch?v=kRowiBfGBHM,0.533728381806779,0.01858241948263447
펜트하우스,불륜복수,sNql5_AlRgo,[펜트하우스] 스페셜 '찐광기란 이런 것! 실검 장악한 김소연 소름 돋는 연기 모음' / 'The Penthouse' Special | SBS NOW,SBS ,2020-12-16T09:00:09Z,3453485,32054,4468,https://www.youtube.com/watch?v=sNql5_AlRgo,0.9281638692509161,0.12937655730370917
펜트하우스,불륜복수,FLjSG2dsqvA,펜트하우스 TOP9 공연 모음이 도착했습니다🎁 하늘이 내린 천상의 목소리는 누규~? #펜트하우스2 #SBScatch,SBS Catch,2021-04-09T01:07:12Z,13320980,193220,4344,https://www.youtube.com/watch?v=FLjSG2dsqvA,1.4504938825822125,0.032610213362680524
