video_id,title,published_at,duration,duration_sec,view_count,like_count,comment_count,like_rate,comment_rate,corner,is_middleform,collected_at
atuRipr9QAE,SNL 코리아 시즌5 | 이유미 편 | 출산 장려 모텔 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2024-03-14T11:00:07Z,PT1M,60,694240,3602,52,0.5188,0.0075,기타SNL,False,2026-05-19T03:49:37.017483+00:00
nF6L-9C6LJI,SNL 코리아 시즌5 | 이유미 편 하이라이트 | MZ오피스 in 대기업 | 쿠팡플레이 | 쿠팡,2024-03-10T09:00:35Z,PT4M43S,283,1448262,8893,377,0.614,0.026,기타SNL,False,2026-05-19T03:49:37.017523+00:00
Yxah74A3ys4,SNL 코리아 시즌5 | 하이라이트 | 지가 간다 | 윤희숙 전 국회의원 | 쿠팡플레이 | 쿠팡,2024-03-10T09:00:32Z,PT4M10S,250,37697,399,153,1.0584,0.4059,기타SNL,False,2026-05-19T03:49:37.017544+00:00
IeHg2m4dPJg,SNL 코리아 시즌5 | 이유미 편 하이라이트 | 소녀시대 | 쿠팡플레이 | 쿠팡,2024-03-10T09:00:11Z,PT4M8S,248,1430378,9404,884,0.6574,0.0618,기타SNL,False,2026-05-19T03:49:37.017566+00:00
1vnwyJSCozs,SNL 코리아 | 이유미 편 | 3월 9일(토) 저녁 8시 | 쿠팡플레이 | 쿠팡,2024-03-09T04:00:01Z,PT1M12S,72,23371,217,24,0.9285,0.1027,기타SNL,False,2026-05-19T03:49:37.017589+00:00
ultlhInxHks,SNL 코리아 시즌5 | 임시완 편 | F는 시청 주의 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2024-03-08T03:00:34Z,PT58S,58,3325318,35322,1114,1.0622,0.0335,기타SNL,False,2026-05-19T03:49:37.017609+00:00
e5BMc4rH_iI,SNL 코리아 시즌5 | 임시완 편 | 위약금? 나가! | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2024-03-08T03:00:31Z,PT47S,47,59737,834,24,1.3961,0.0402,기타SNL,False,2026-05-19T03:49:37.017628+00:00
s_mgShHNYtM,SNL 코리아 시즌5 | 임시완 편 | 소몰이 고백법 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2024-03-07T12:00:54Z,PT31S,31,846255,12828,336,1.5159,0.0397,기타SNL,False,2026-05-19T03:49:37.017669+00:00
r0hmZXyOGjU,SNL 코리아 시즌5 | 임시완 편 | ‘뭐여’ 하나면 끝! | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2024-03-07T12:00:46Z,PT42S,42,520116,11896,88,2.2872,0.0169,기타SNL,False,2026-05-19T03:49:37.017688+00:00
lARN7Q2hbdw,SNL 코리아 시즌5 | 하이라이트 | 지가 간다 | 이준석 개혁신당 대표 | 쿠팡플레이 | 쿠팡,2024-03-03T09:00:30Z,PT4M19S,259,941160,8318,1441,0.8838,0.1531,기타SNL,False,2026-05-19T03:49:37.017745+00:00
