작품명,video_id,영상제목,채널명,업로드일,view_count,like_count,comment_count,영상URL,like_rate,comment_rate
오늘 한류스타와 이혼하겠습니다,q0ajxWfn0Bw,우리 이혼해 [오늘 한류스타와 이혼하겠습니다] Ep.6-10,숏드라마는 비글루 (Vigloo),2026-01-16T08:01:20Z,92354,288,10,https://www.youtube.com/watch?v=q0ajxWfn0Bw,0.31184355848149514,0.010827901336163025
오늘 한류스타와 이혼하겠습니다,OMrPQmsO-8A,며느리 협박하는 막장 시엄니 최후,숏드라마는 비글루 (Vigloo),2026-01-23T08:00:22Z,1605454,16131,36,https://www.youtube.com/watch?v=OMrPQmsO-8A,1.004762515774354,0.0022423563677314955
오늘 한류스타와 이혼하겠습니다,Rr3m1UN5GwI,연예인병은 약도 없다는데..,숏드라마는 비글루 (Vigloo),2026-01-19T10:00:41Z,95971,699,5,https://www.youtube.com/watch?v=Rr3m1UN5GwI,0.7283450208917277,0.005209907159454419
오늘 한류스타와 이혼하겠습니다,kLAgbygp_rY,바람피운 남편 + 시어머니 + 불륜녀,숏드라마는 비글루 (Vigloo),2026-01-22T08:48:33Z,85161,896,5,https://www.youtube.com/watch?v=kLAgbygp_rY,1.0521247989102993,0.005871232136776224
오늘 한류스타와 이혼하겠습니다,YX4hP0K51sA,"둘이 좋을 땐 언제고, 결혼은 아니라고?",숏드라마는 비글루 (Vigloo),2026-02-05T08:56:13Z,36855,359,2,https://www.youtube.com/watch?v=YX4hP0K51sA,0.9740876407543074,0.00542667209333876
장녀 결혼 일기,yvduruKlVdo,자식을 ATM으로 보던 부모의 최후 #장녀결혼일기,숏드라마는 비글루 (Vigloo),2026-01-28T08:01:08Z,140280,1802,5,https://www.youtube.com/watch?v=yvduruKlVdo,1.2845737097234105,0.0035642999714856007
장녀 결혼 일기,iRKh_PDeWu0,돈 없다던 남편. 서울 자가에 40평 아파트? [장녀 결혼 일기] Ep.4-8,숏드라마는 비글루 (Vigloo),2025-12-24T07:03:00Z,101810,365,12,https://www.youtube.com/watch?v=iRKh_PDeWu0,0.3585109517729103,0.011786661428150476
장녀 결혼 일기,L4Ei5lC4OR4,경비원으로 위장한 재벌의 프로포즈 [장녀 결혼 일기] Ep.1-3,숏드라마는 비글루 (Vigloo),2025-12-24T07:00:18Z,100481,428,18,https://www.youtube.com/watch?v=L4Ei5lC4OR4,0.4259511748489765,0.017913834456265362
장녀 결혼 일기,NCn63-RVvF4,가족들 수발러였던 K장녀의 인생역전 [장녀 결혼 일기],숏드라마는 비글루 (Vigloo),2026-02-09T10:00:27Z,50661,355,6,https://www.youtube.com/watch?v=NCn63-RVvF4,0.700736266556128,0.011843429857286671
장녀 결혼 일기,sqEMlFwagEE,각막까지 내놔야 하는 K-장녀의 삶,숏드라마는 비글루 (Vigloo),2025-12-24T07:15:04Z,72469,317,6,https://www.youtube.com/watch?v=sqEMlFwagEE,0.43742841766824436,0.0082794022271592
장녀 결혼 일기,pVwJdl859Gs,금쪽이 동생부터 부모까지 빨대 꽂는 장녀의 삶 [장녀 결혼 일기],숏드라마는 비글루 (Vigloo),2025-12-25T03:01:06Z,71226,335,2,https://www.youtube.com/watch?v=pVwJdl859Gs,0.4703338668463763,0.0028079633841574707
장녀 결혼 일기,nxSviBj8w0A,[장녀 결혼 일기] 트레일러,숏드라마는 비글루 (Vigloo),2025-12-23T08:30:27Z,69490,221,2,https://www.youtube.com/watch?v=nxSviBj8w0A,0.31803137142034826,0.0028781119585551875
장녀 결혼 일기,Cub_lmsXhPg,힘숨찐 남편의 스토커 전남편 참교육,숏드라마는 비글루 (Vigloo),2026-02-04T08:00:14Z,80618,1720,5,https://www.youtube.com/watch?v=Cub_lmsXhPg,2.1335185690540577,0.0062020888635292365
천재 아기의 인생 역전,1foQmIDuofI,오늘부터 난 주식의 신이다 [천재 아기의 인생 역전] Ep1-4,숏드라마는 비글루 (Vigloo),2026-05-07T11:40:41Z,79332,260,20,https://www.youtube.com/watch?v=1foQmIDuofI,0.3277366006151364,0.025210507739625874
천재 아기의 인생 역전,5CozBjc9OI0,아빠 뺏은 상간녀와 주식 내기 [천재 아기의 인생 역전],숏드라마는 비글루 (Vigloo),2026-05-08T09:03:26Z,48248,144,3,https://www.youtube.com/watch?v=5CozBjc9OI0,0.29845796716962364,0.006217874316033826
천재 아기의 인생 역전,ujINZuWkBys,냄새 난다고 손님 내쫓는 직원의 최후는?,숏드라마는 비글루 (Vigloo),2026-05-09T03:00:58Z,62156,261,24,https://www.youtube.com/watch?v=ujINZuWkBys,0.4199111911963447,0.03861252332839951
천재 아기의 인생 역전,cZmOemXFpNM,냄새 난다고 손님한테 방향제 뿌리는 무개념 직원,숏드라마는 비글루 (Vigloo),2026-05-11T04:57:08Z,295103,2811,34,https://www.youtube.com/watch?v=cZmOemXFpNM,0.9525487711070372,0.011521401002361887
천재 아기의 인생 역전,tD2xW6EKS9U,엄마의 인생을 건 상간녀와의 내기 한 판,숏드라마는 비글루 (Vigloo),2026-05-08T06:00:40Z,46554,382,1,https://www.youtube.com/watch?v=tD2xW6EKS9U,0.820552476693732,0.002148043132706105
타임리프 로맨스: 은밀한 복수,vOWvgA6-Uxw,"내 약혼남은 너 가져, 네 남편은 내가 가질게 #비글루 #숏드라마",숏드라마는 비글루 (Vigloo),2025-03-17T10:03:47Z,347171,2864,7,https://www.youtube.com/watch?v=vOWvgA6-Uxw,0.8249536971694064,0.002016297444198968
타임리프 로맨스: 은밀한 복수,AAtvaW8mOjo,복수를 위한 유혹의 시작 [타임리프 로맨스 : 은밀한 복수] 숏드 몰아보기,숏드라마는 비글루 (Vigloo),2025-07-18T10:00:18Z,123333,419,5,https://www.youtube.com/watch?v=AAtvaW8mOjo,0.33973064792067004,0.004054065010986516
