channel_name,video_id,title,duration_seconds,format_type,view_count,like_count,comment_count,like_rate,comment_rate
미우새,TL0CvH9fWfc,진짜와 구별할 수 없는 사라킴👜 [신혜선&이준혁&배종옥 모음집],876,longform,8128,71,3,0.8735,0.0369
미우새,oy8KqNfHZ3E,박신양 근황 공개👓 이동건과 파리의 연인 비하인드까지 최초 고백?! [미운 우리 새끼|260301 SBS방송],871,longform,132108,1184,126,0.8962,0.0954
미우새,R6Cho9wXs3Y,박신양과 이동건의 파리의 연인 명대사 (2026년 ver.) #shorts,40,shortform,10530,54,1,0.5128,0.0095
미우새,2LneOdH3kkA,왕이랑 살기 전에 아내와 사는 남자들👑 [장항준&유지태 모음집],856,longform,369257,3676,114,0.9955,0.0309
미우새,-O1mZUiedus,조진세 긁는 그리?! 해병대 vs 의경 군부심 대결🔥 [미운 우리 새끼|260222 SBS방송],856,longform,66622,442,436,0.6634,0.6544
미우새,CZLdCns6TwA,의경 출신 조진세 긁는 해병대 그리😝 #shorts,51,shortform,25991,152,39,0.5848,0.1501
미우새,eQ6qw8BATy4,허경환에게 아기맹수 소개해 주는 윤주모😲 [미운 우리 새끼|260215 SBS방송],383,longform,86794,513,67,0.5911,0.0772
미우새,dVcOc6l_JxE,아기맹수한테 0고백 1차임🤣ㅋㅋ #shorts,43,shortform,48211,159,7,0.3298,0.0145
미우새,B0T4tdRrDEI,장가갈 수 있는데↗🥲 [허경환 데이트 모음집],866,longform,114670,687,140,0.5991,0.1221
미우새,IGt1j8fXtVY,과거에 엄마가 미웠던 송해나?! 알뜰한 엄마한테 서운 폭발💧 [미운 우리 새끼|260208 SBS방송],291,longform,284721,1068,437,0.3751,0.1535
미우새,51nqewpUBN8,과거에 엄마가 너무 미웠던 송해나😢 #shorts,45,shortform,28487,186,14,0.6529,0.0491
미우새,xSuqrRg4UBE,휴지 한 장만 써라😠🧻 [김종국 잔소리 모음집],863,longform,28541,162,39,0.5676,0.1366
미우새,q5wR_c5ipjw,여행 도중 이성민 아내랑 통화하는 배정남😲?! [미운 우리 새끼|260201 SBS방송],305,longform,103705,808,50,0.7791,0.0482
미우새,xVbfwHnPDOg,내 와이프랑 왜 통화해? #shorts,68,shortform,16044,138,1,0.8601,0.0062
미우새,DMs9Z2_Uge4,오늘 내 세상이 무너졌어🫠 [AI.ZIP],831,longform,124187,712,68,0.5733,0.0548
미우새,lFwSLhuyQ6A,두 개의 자아끼리 원만하게 합의 좀..🤼‍♂️ [미운 우리 새끼|260125 SBS방송],498,longform,44073,308,45,0.6988,0.1021
미우새,AyleVrTTiXA,난 계속 이렇게 살아왔는데 #shorts,125,shortform,9785,95,8,0.9709,0.0818
미우새,5r7cT0KTtaQ,대체 왜 이렇게까지 하는 거예요..🥶 [한겨울 입수.ZIP],865,longform,58762,366,26,0.6229,0.0442
미우새,U708_VE7rx8,이 집 해석 재밌네.. (과몰입 ㄹㅈㄷ) [미운 우리 새끼|260118 SBS방송],536,longform,17804,1064,96,5.9762,0.5392
미우새,81kNA4GFGBE,AI 특 빈말 안 함 #shorts,104,shortform,53995,379,18,0.7019,0.0333
미우새,6chDl_AhiMA,제발 그만해... 이러다가는 다 죽어!!!!!!!!😵‍💫 [탁재훈 운동.ZIP],786,longform,18716,214,13,1.1434,0.0695
미우새,kFvdxuBFIK0,풀 악셀 플러팅에 당황😅 [미운 우리 새끼|250111 SBS방송],465,longform,5668,50,10,0.8821,0.1764
유퀴즈온더블럭,uXjXVTEstGc,[미방분] 햇살캐 = 언산 김혜윤❤️ #언니네산지직송in칼라페,18,shortform,30,7,0,23.3333,0.0
유퀴즈온더블럭,dVr5FjtoXL8,[미방분] 물 안 좋아한다던 덱스 근황.. #언니네산지직송in칼라페,27,shortform,22,2,0,9.0909,0.0
유퀴즈온더블럭,7lk5bZw2Pcs,[#언니네산지직송] 야들야들한 양념갈비에 입 터진 덱스 X 은진 ㅋㅋ 양념갈비와 겉절이의 완벽한 조화🤤,1192,longform,9,0,0,0.0,0.0
유퀴즈온더블럭,GO0CpXvhSUw,라이언 하트 태연은 인정이지 #유퀴즈온더블럭,34,shortform,3416,10,0,0.2927,0.0
유퀴즈온더블럭,4dJ5QOBWK-Y,견제짱(?) 효연 ㅋㅋ #유퀴즈온더블럭,50,shortform,2255,9,0,0.3991,0.0
유퀴즈온더블럭,AHB7ZnH1bSw,장기 연습생 수영이 무서웠던 태연 ㅋㅋ #유퀴즈온더블럭,74,longform,6015,21,0,0.3491,0.0
유퀴즈온더블럭,_u5X_VVdsB0,[#유퀴즈온더블럭] 이 구역 춤짱은 나야🤨 첫 만남에 댄스짱 출신 유리 견제했던 초딩 효연 ㅋㅋ,1003,longform,499,8,1,1.6032,0.2004
유퀴즈온더블럭,Gta2FV-ZWkw,컨셉 확실한 단과 취향 저격 당한 차정원 #킬잇,9,shortform,9530,11,0,0.1154,0.0
유퀴즈온더블럭,2nex5RmrmP0,모델 클라쓰 보여주는 여연희 #킬잇,24,shortform,10206,18,1,0.1764,0.0098
유퀴즈온더블럭,YgiZkGyTDBw,🍕최초 공개🍕 UNO 피자 공장의 비밀! (4K),65,longform,278,15,1,5.3957,0.3597
유퀴즈온더블럭,_fkVv_FtScU,선 넘는 부인에 참다못해 폭발한 재열🔥#은밀한감사,52,shortform,7662,55,0,0.7178,0.0
유퀴즈온더블럭,8hxPDlYuawU,질리지도 않는 김재욱 퇴폐미..🖤ㄴ영상이 안 끝나요#은밀한감사,41,shortform,5698,41,0,0.7196,0.0
유퀴즈온더블럭,yG2fQ6uycpA,[#콩콩팥팥] 꼴등은 안 된다? 게임에서 진 도경수 의견은 제외하고 작업복 고르는 형들 ㅋㅋ,1145,longform,372,9,0,2.4194,0.0
유퀴즈온더블럭,dhgyxf5XDTY,[#콩콩팥팥] 이거 어떻게 된 거예요. 지금?💢 음식이 너무 맛있어서 화난 이광수 ㅋㅋㅋ,1064,longform,468,6,0,1.2821,0.0
유퀴즈온더블럭,6E5MRQcoWNs,[#콩콩팥팥] 진짜 맛있다😋 읍내 나들이 가서 먹는 美친 순댓국,1158,longform,403,1,0,0.2481,0.0
유퀴즈온더블럭,uuwFCbWcpEE,[미방분] 참가자들 동공 지진 오게 한 등장 룩 #킬잇,23,shortform,7991,13,0,0.1627,0.0
유퀴즈온더블럭,uf_2FSgLP9w,[미방분] 악프에서 튀어나온듯한 유희라 #킬잇,19,shortform,4472,6,0,0.1342,0.0
유퀴즈온더블럭,nvI7-q7qctE,[미방분] 등장부터 압도하는 외국인 모델 티아라 #킬잇,29,shortform,5098,5,0,0.0981,0.0
유퀴즈온더블럭,iaK-aSeL9Bs,[미방분] 재인이 참가자 중 1번인 이유 #킬잇,20,shortform,8668,11,0,0.1269,0.0
유퀴즈온더블럭,sD55v5GViro,[#김창옥쇼3] 네가 결혼하면 우리 집은?💥 희생을 당연시하는 엄마에 지쳐 인연을 끊은 둘째 딸💧,1196,longform,542,13,1,2.3985,0.1845
유퀴즈온더블럭,KJfuNROeGvY,[7화 선공개💋] 두 사람의 사이가 궁금해도 참아보는 기준#은밀한감사,59,shortform,5965,31,0,0.5197,0.0
유퀴즈온더블럭,-wfJlh04org,[#김창옥쇼3] 금슬은 좋은데 낳고 보니 독박육아💦 일곱 남매를 남편 도움 없이 혼자 키운 아내,788,longform,236,1,0,0.4237,0.0
유퀴즈온더블럭,rOy1SGLJY04,[메이킹] 미역까지 소화해 내는 박지훈👀 #취사병전설이되다,33,shortform,3583,50,0,1.3955,0.0
유퀴즈온더블럭,AK9Aa_MDWjA,[메이킹] 악귀❌ 악 귀요미⭕ #취사병전설이되다,33,shortform,13402,32,0,0.2388,0.0
유퀴즈온더블럭,LSP9ztXZ0Iw,[메이킹] 편의점 웨이팅 529시간일 듯 #취사병전설이되다,33,shortform,2861,17,0,0.5942,0.0
유퀴즈온더블럭,i5zVRUK3HNQ,[유퀴즈온더블럭] 나★키 신는 사람한테 생선 슬리퍼가 웬 말이야!💥 자기백 상품에 뿔나신 여사님 ㅋㅋ,1186,longform,540,5,1,0.9259,0.1852
유퀴즈온더블럭,O1cc3NUM-3o,생선 슬리퍼 내동댕이 친 여사님 ㅋㅋ #유퀴즈온더블럭,55,shortform,17587,111,2,0.6311,0.0114
유퀴즈온더블럭,DP9Az4hKXjE,갑툭튀 아버님 ㅋㅋㅋ #유퀴즈온더블럭,54,shortform,13362,50,0,0.3742,0.0
유퀴즈온더블럭,qYwO8uZ7Yds,보는 사람이 긴장하게 되는 기념일 질문 #이호선상담소,68,longform,24185,103,0,0.4259,0.0
유퀴즈온더블럭,9HHj_sMbjOo,관계중독인 사람의 하루 #이호선상담소,73,longform,9021,58,0,0.6429,0.0
유퀴즈온더블럭,34rcUoNtO-Q,아내를 애 키우는 사람으로 생각하는 남편과 시어머니 #이호선상담소,66,longform,13450,82,0,0.6097,0.0
유퀴즈온더블럭,_CYXRaaaUhk,[#이호선상담소] 5남매를 혼자 키우는데💦 아내가 개인적으로 쓸 수 있는 돈을 아예 주지 않는 남편⁉️,1162,longform,1889,11,0,0.5823,0.0
유퀴즈온더블럭,H_hNzDCicjs,[#이호선상담소] 한 달 수입이 천 만원인데 통장 잔고가 0원?💥 철부지 부부를 위한 이호선의 솔루션은❓,861,longform,1060,4,0,0.3774,0.0
유퀴즈온더블럭,b-s7qnVSDt4,"[#짠내골프] 차분하게 홀인 성공하고 웃음 되찾은 강호동 ㅋㅋ 골프는 역시 멘탈 싸움,,⛳",613,longform,1063,16,1,1.5052,0.0941
유퀴즈온더블럭,iMXP2-Ot0kU,[#짠내골프] 이상한 폼으로 월드클래스(?) 먹은 김준호 ㅋㅋ 자세는 좀 희한하지만 그래도 결과는 페어웨이........😅,1197,longform,1612,18,2,1.1166,0.1241
유퀴즈온더블럭,X4_ICQF2m8c,[#짠내골프] 페트병 적중 1트만에 성공한 (자칭) 껌프로치 별명 소유자 김준호 ㅋㅋ🏌️‍♂️,963,longform,638,13,1,2.0376,0.1567
유퀴즈온더블럭,rMUq62O8B9Y,따로 없지 말입니다 | #구기동프렌즈,11,shortform,9332,36,7,0.3858,0.075
유퀴즈온더블럭,O7MRO_AJYRo,다희가 생각하는 결혼 적령기 | #구기동프렌즈,21,shortform,101631,235,85,0.2312,0.0836
유퀴즈온더블럭,5hP98ig8fMo,X 싸는 소리 하지마 ㅋㅋ | #구기동프렌즈,10,shortform,9238,24,1,0.2598,0.0108
유퀴즈온더블럭,tEo_fyBrzpk,[미방분] 괜히 긴장되는 칭찬 타임 #킬잇,23,shortform,64561,93,2,0.144,0.0031
유퀴즈온더블럭,gQOKhNtGja0,[미방분] 짬바 장난 아닌 나라 언니 #킬잇,30,shortform,19825,25,1,0.1261,0.005
유퀴즈온더블럭,hmID_wIlkNs,[미방분] 추구미 몸매 다샤 언니ㅠㅠ #킬잇,24,shortform,24698,27,3,0.1093,0.0121
유퀴즈온더블럭,9QBBLu8RKYQ,[미방분] 현직 모델 긴장시키는 참가자 라인업 #킬잇,19,shortform,17972,28,0,0.1558,0.0
유퀴즈온더블럭,e3a3scLWvxs,어른들은 공감할 미숙했던 시절 | #구기동프렌즈,23,shortform,9410,27,1,0.2869,0.0106
유퀴즈온더블럭,VUbIP_Zl1u4,어른들은 공감할 미숙했던 시절 | #구기동프렌즈,35,shortform,56302,106,2,0.1883,0.0036
유퀴즈온더블럭,G8x9cj22x7Q,POV: 연프를 봐도 무표정이어야 함 | #구기동프렌즈,10,shortform,10634,24,0,0.2257,0.0
유퀴즈온더블럭,uoTJcqiLLpE,일상 속 자신이 어른처럼 느껴지는 순간들 #음성사서함,32,shortform,4103,20,0,0.4874,0.0
유퀴즈온더블럭,vF0UMDZuc3I,라이즈 앤톤 덕분에 태교 성공한 팬 #음성사서함,30,shortform,3655,28,0,0.7661,0.0
유퀴즈온더블럭,Nq2-u14milM,"피부가 괴사될 때까지 골프채로 맞은 아들💥 엄마를 살해한 전교 1등 아들, 그날의 이야기 [#이말을꼭하고싶었어요]",1088,longform,2977,23,9,0.7726,0.3023
유퀴즈온더블럭,D6RKiHHlwqc,연쇄살인범 이춘재의 소름 돋는 발언 ㄷㄷ #유퀴즈온더블럭,51,shortform,22722,114,1,0.5017,0.0044
