차트,순번,제목,태그/설명,상세_장르,줄거리,총회차,URL
인기,22,남편을 유혹해줘요,삼각관계,치정· · 스릴러,"미술대학 교수 주원과 갤러리 관장 유진은 10년 차 부부다. 어느 날부터 주원의 행동이 의심스럽기 시작한 유진은, 친구의 권유로",43,https://www.vigloo.com/ko/video/15001685?episode=1
인기,23,꿈에서 자유로,청춘물,판타지· · 로맨스· · 스릴러,평범한 여고생 최정민은 학교폭력 가해자이자 교내 권력자인 하주현의 괴롭힘 속에 지옥 같은 나날을 보낸다. 자각몽에서만 복수하던,46,https://www.vigloo.com/ko/video/15001684?episode=1
인기,24,당신은 나의 신부,선결혼후연애,로맨스· · 반전,"원계는 친부모와 양부모 모두에게서 외면받으며 외로이 자라왔다. 그러던 중, 거물급 기업인 상침과 결혼하게 되지만, 친부모는 수양",112,https://www.vigloo.com/ko/video/15001652?episode=1
인기,25,뚱보 아내는 조폭 마누라,인기급상승 4위,환생· · 걸크러쉬· · 사이다,"대통령 후보 현우의 아내 지애는 남편의 내연녀 채원의 계략으로 죽음의 위기에 처한다. 그 순간, 사고로 죽은 전설적인 조폭 여보",75,https://www.vigloo.com/ko/video/15001651?episode=1
인기,26,D-100 : 남편을 리셋합니다,타임루프,반전· · 환생· · 사이다,"결혼식 당일, 강예린은 약혼자 남태준과 절친 권유나의 배신으로 목숨을 잃는다. 죽음의 순간, 예린은 그동안 외면해 왔던 정략결혼",49,https://www.vigloo.com/ko/video/15001590?episode=1
인기,27,의치한 스캔들,엘리트,로맨스· · 치정,"강남의 성공한 의사, 치과의사, 한의사 세 남자. 겉으로는 찐친으로 보이지만, 그들 사이에는 숨겨진 치명적인 비밀이 있다. 욕망",50,https://www.vigloo.com/ko/video/15001589?episode=1
인기,28,심장이 기억하는 사랑,기억상실,스릴러· · 드라마· · 로맨스,세련은 우울증과 공황장애로 집 밖에 나가지 못한 채 살아간다. 어느 날 옆집 남자 우재에게서 남편 기태가 국회의원 딸 채아와 결,52,https://www.vigloo.com/ko/video/15001555?episode=1
인기,29,멍청한 쓰레기 남편은 즉시 폐기!,여성중심,드라마· · 사이다· · 배신,"YJ테크의 성공한 CEO 나루세 아야는 해외 출장에서 돌아온 날, 자신의 집무실에서 남편 준과 비서 리나의 불륜 현장을 목격한다",55,https://www.vigloo.com/ko/video/15001552?episode=1
인기,30,낮져밤이 오피스,로코,로맨스· · 코미디,"수직사회의 끝판왕. K- 회사. 그중에서도 회사의 먹이사슬 최하위 포지션에 위치한 계약직 사원, 세연. 오늘도 위에서 시킨 업무",49,https://www.vigloo.com/ko/video/15001522?episode=1
인기,31,불장난,금지된사랑,로맨스· · 배신· · 삼각관계,"결혼식을 두 달 앞두고 이 결혼을 하는게 맞는지, 재성을 사랑하는지 혼란스러운 시간을 보내고 있는 선우. 단골 Bar에 권태롭게",49,https://www.vigloo.com/ko/video/15001488?episode=1
인기,32,엘러베이터 S2,다각관계,리얼리티· · 로맨스· · 다정남,"엘리베이터. 아주 익숙하고 일상적인 공간이지만, 수많은 낯선 이들과 스쳐 지나가는 공간이기도 하다. 여기 사랑을 찾아주는 엘러베",34,https://www.vigloo.com/ko/video/15001487?episode=1
